Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Return","1M Return vs Nifty","% Away From 52W High","% Away From 52W Low","1Y Return","5Y CAGR","6M Return vs Nifty","Daily Volume","Face value","Close Price","1D Return","1W Return","1W Return vs Nifty","1D Change in Volume","1M Average Volume","1W Change in Volume","3M Average Volume"
ITC Ltd,ITC,"FMCG - Tobacco","413888.443638345","52.56086548587499","15.814033874870375","-0.6670619626445301","3.534571380075826","7.879420981942986","61.85990338164251","53.200731595793336","4.969664041643962","4.1212672361381735","8284135","1","335.05","0.479832058779434","1.0556477152767305","2.4135373939895857","1.379169906100971","7980627.583333333","19.020413593507374","11001392.461538462"
Adani Total Gas Ltd,ATGL,"Gas Distribution","399637.98985971","97.04709524676778","43.63221362635588","-3.8262304394281568","0.3754029032921995","12.476795859818868","135.41018340727013","97.68696135668613",,"31.939446987623676","283873","1","3555.4","-2.1548284118116445","-3.7220574894728955","-2.3641678107600406","-39.36488339606037","338130.8333333333","-58.635075371758724","310041.93846153846"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","-23.45598587889844","1.0766136528808259","-10.720976927842601","-6.519343585122245","34.52277439636147","14.567049808429111","-22.816119768980094","26.9388770489295","-10.616152985851375","2931922","2","5980.4","-1.9614593323005638","-9.046112665774428","-7.6882229870615735","-42.53724790780628","1100675.375","92.85585548844742","996595"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","-6.195128015938754","4.828395423877968","-7.670843560263534","-3.4692102175431776","11.794828744123564","9.552421827099945","-5.5552619060204105","12.240779021917092","-6.864371214854234","3799655","5","1786.8","-1.8403559852771523","-2.2137091257353974","-0.8558194470225422","119.30136937282194","2910402.8333333335","41.11011004616948","2425713.969230769"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","29.750969469596487","-3.438041708252353","-10.907284447244713","-6.705651104524357","65.91867265061879","33.24031457253651","30.39083557951483",,"-15.130808346984555","455101","10","1838.25","-1.1693548387096775","-4.842633813024121","-3.484744134311266","-43.34952803824988","669568.2916666666","-70.74599791217776","951362.0461538462"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","7.78050281707569","34.08411785496257","-0.3319799379030245","3.8696534048173317","5.993146581677866","43.27256497407905","8.420368926994033","9.674891682962606","22.39135121623037","1877917","2","2086.55","-0.03832610726517964","0.03595742640713395","1.3938471051199892","-0.18528725637197346","1748934.7916666667","57.884174480653286","1770478.4153846153"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","28.060667917193808","42.852800364769344","3.8965345713811974","8.098167914101554","3.2024683476965743","52.0258794985847","28.700534027112152","10.783757150341566","31.160033726037142","5787783","2","939.9","-1.016270865146646","0.658634538152608","2.016524216865463","-17.30533592037697","7462628.208333333","56.23870108618043","9782520.753846154"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","-15.8974308745464","4.0889075277836024","-5.797513995635251","-1.5958806529148948","20.534515175933386","16.343750000000014","-15.257564764628057","20.23602549625263","-7.6038591109486","1045526","1","2978.4","-0.8637475660292515","-3.5460992907801416","-2.1882096120672863","-6.139938236139041","926840.5833333334","25.03001602449116","987213.8769230769"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","42.728220023998304","0.46582923576134483","-9.002884962134875","-4.8012516194145185","67.90179721402106","47.56432748538011","43.36808613391665","64.47372381792466","-11.226937402970858","398510","10","2523.35","-1.2058806256484615","-2.5451385536352262","-1.187248874922371","-29.770424662386617","559052.7083333334","-65.12405373473942","624713.9384615384"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","-20.26007001683718","4.682748834380694","-7.863865471252071","-3.6622321285317145","31.62277304415184","17.718128455006553","-19.620203906918835","18.0757582280753","-7.0100178043515085","1887689","2","1032.8","-1.0822718130447233","-0.6254209564129702","0.7324687222998849","-17.745713074355223","2684328.7083333335","1.4581093864212926","2840867.476923077"
