Name,Ticker,"Sub-Sector","Market Cap","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","1Y Hist Op. Cash Flow Growth","5Y Historical Revenue Growth","3Y Historical Dividend Growth","1Y Forward EPS Growth","1Y Historical Revenue Growth"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","368509.30558332003","-10.118737399420553",,"58.576266811071335","28.015386396838448",,"56.5224067000869","27.905107191270396",,"-4486.894099867455","25.926253842056045","49.380158218572156","57.629361302490075","18.578685719960795"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","362046.16158597","-55.61159749850172",,"18.827337486169615","17.78892962508083","-96.26634228006047","20.538483380400674","16.38266523829777","-8.63519399897621","72.45986072897053","11.684050122068545","11.199004528465784","10.240635251377249","4.686432710821653"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","294630.040908","29.71995746189295","55.6719817767654","132.85714285714283",,"30.682436106579644","52.69756838905775","52.73764919468176","156.0930762525296","91.13054341036852","57.51048974805957",,"27.93572842535788","56.504854368932044"
Larsen & Toubro Ltd,LT,"Construction & Engineering","293348.681049345","13.652627519082312","20.6896696034136","-25.18454889852049","7.391887677600684","-46.45155028444581","-15.459834173173247","8.094443409312557","23.55556854874208","-16.94665209315145","7.425273362280493","6.917810999860885","28.110098615002407","7.612070197492282"
Axis Bank Ltd,AXISBANK,"Private Banks","292010.392901185","-33.1770149611812",,"88.28759433854961","22.71050790884854","-99.21811972008686","86.23175096565231","25.249540162973894","-2.666561958051872","122.73068373957483","8.376579249420546","0","41.203490644671234","10.439224318582996"
Asian Paints Ltd,ASIANPAINT,"Paints","288069.134756985","20.418183801908718","31.8945543039506","-3.4632034632035045","9.337727233766602","409.75681456477","-1.6918405706299655","8.88629332986266","-8.371208010274511","-73.21758725073641","10.857970488840362","22.17804166425892","38.15547416327615","33.878928201396796"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","284913.56362844503","-0.5527768787159388","23.5016813019218","-1.5873664259336646","23.66901195488702","3.6399838374396865","8.42557005154205","22.327564835389268","13.356307943981438","8.251923061678019","34.05185010844409",,"13.212118687375982","13.604739832671298"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","282673.90147336","16.050826472012737","8.6227471992205","21.121579183490358","10.398924744097338","-2.958579881656803","2.9606674612634087","13.512926348584786","13.44284444265158","-13.854623305127944","12.258124009121163","118.97595699439445","7.0971983031335535","13.645060676748887"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","255592.9595666","30.621899809832826","84.3393602225313","-11.610580756875176","-12.374941599488476","528.1689758217875","-9.981198784424661","-9.89935676112773","-29.112176136342082","-79.217949007475","5.0461523515520135","-9.143970358393016","99.75126699827334","22.808540869084748"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","249898.52029398","40.84309552784872","55.1555938065298","35.74930194908488","23.32781583972028","83.86708929937697","34.896300650763344","21.282395971386237","24.6916186961053","-0.2028884331777267","21.12500104852004",,"68.61107999966619","27.75140749907452"
