Name,Ticker,"Sub-Sector","Market Cap","Working Capital Turnover Ratio","Current Ratio","Net Income / Liabilities","Long Term Debt to Equity","Inventory Turnover Ratio","Earning Power","Debt to Equity","Days of Sales Outstanding","Days Payable Outstanding","Days of Inventory Outstanding","Cash Conversion Cycle","Asset Turnover Ratio","Quick Ratio","Interest Coverage Ratio"
Dolphin Medical Services Ltd,DOLPHMED,"Hospitals & Diagnostic Centres","2.6424916","0.42911877394636017","2.9253731343283578",,"6.601941747572816",,,"6.601941747572816","0","0","0",,"0.04560260586319218","2.9253731343283578","-15.999999999999975"
Purohit Construction Ltd,PUROHITCON,"Construction & Engineering","2.6389544","0.4218750000000001","3.0000000000000004",,"0","0.5",,"3.7151702786377716","0","1095","730",,"0.054325955734406434","2.882352941176471",
GCM Commodity & Derivatives Ltd,GCMCOMM,"Investment Banking & Brokerage","2.606877","0.027718550106609813","1.9441340782122905",,"0",,,"0","24735.769230769234",,,,"0.00998272221155692","1.683958499600958",
SPV Global Trading Ltd,SPVGLOBAL,"Investment Banking & Brokerage","2.57152","3.69874678111588","1.9639733317022445","9.460764816182767","0",,"10.5604221635884","6.078721117678668","75.47272710394891",,,,"1.1791761988681766","1.017004098109976","9.079854809437396"
Concrete Infra and Media Ltd,CONCRETE,,"2.5576432000000002","68.75438596491237","1.017049576783555","0.5924313867730617","0","500.51612903225805","0.7244785949506031","0","75.32374330186272","189.18084557875744","0.7292472286671823",,"1.577697262479871","1.0148730350665054",
Shree Hanuman Sugar & Industries Ltd,HANSUGAR,"Sugar","2.553","-0.0033701238520515513","0.09698175011698641",,"0","0.004123711340206185",,"33.62160144341443","0","74733.74999999999","88512.50000000001",,"0.0009908347783007148","0.09043051006083293","-5975.999999999999"
Cox & Kings Financial Service Ltd,CKFSL,"Diversified Financials","2.5515820176518202","0","15.775319414147706",,"446.6279589102278",,,"446.6279589102278",,,,,"0","15.775319414147706",
Quintegra Solutions Ltd,QUINTEGRA,"Software Services","2.54731385","0","0",,,,,,,,,,"0","0",
Jauss Polymers Ltd,JAUSPOL,"Packaging","2.54406625","0","25.499999999999996",,"1.079913606911447",,,"1.079913606911447",,,,,"0","25.499999999999996","-24"
Manor Estates and Industries Ltd,KARANWO,"Textiles","2.53638","0","0.8947368421052632",,,"0",,,,,,,"0","0.21052631578947373",
EMA India Ltd,EMAINDIA,"Auto Parts","2.5125","-0.7187500000000001","0.3055555555555556",,,"0.42105263157894735",,,"0","273.75","866.875",,"0.30065359477124187","0.2361111111111112",
Gaekwar Mills Ltd,ZGAEKWAR,"Textiles","2.51","0.3548387096774194","8.838709677419356",,,,,,"0",,,,"0.07589945786101528","8.838709677419356",
