Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Arvind Fashions Ltd,ARVINDFASN,"Textiles","4554.6734291","0","82.4","266.33000000000004","300.12","300.12","-209.21","0","850.4099999999999","2412.46","571.71","3262.87","407.09999999999997","-8.51","1055.61","2140.53","52.97","104.96",,"410.97","0","136.45000000000002","2035.95","1752.41","13.2461813","957.86",,"850.4099999999997","830.81","252.95","-1443.2500000000002","154.62","696.8000000000002","528.47","524.8799999999999",,"660.05","1226.92","100.16"
Varroc Engineering Ltd,VARROC,"Auto Parts","4494.211956","5.88","-461.24","522.0699999999999","-217.93999999999994","635.58","-334.86","853.52","2014.0300000000007","8975.01","517.53","10989.04","305.98000000000013","-761.96","1284.07","1302.4","15.28","117.78","117.61000000000001",,"387.62","80.417","8310.92","8476.85","15.27864","1625.18",,"2014.03","615.59","74.57","671.04","104.85","7192.780000000001","7060.02","2105.233",,"498.16000000000014","2678.12","25.31"
MAS Financial Services Ltd,MASFIN,"Diversified Financials","4479.55442385","15.07","-699.55","-790.0899999999999","-807.69","-802.35","922.69","5.34","1339.9699999999993","4981.750000000001","1.05","6321.72","4173.349999999999","-819.89","14.59","426.95","54.66","870.66",,"25.16","493.21","0","937.6899999999999","808.39","5.4662043","4439.219999999999",,"1339.9699999999998","0","0.010000000001127773","835.8","0","793.8","65.98","65.85","4799.81","4173.360000000001","5384.030000000001","22.45"
La Opala R G Ltd,LAOPALA,"Housewares","4474.41","33.3","-0.05999999999999517","-24.38","56.32","99.39","-24.46","43.07","740.4899999999999","105.93000000000023","32.44","846.4200000000001","12.99","-74.99","31.09","56.2","22.2","355.02000000000004","30.830000000000002",,"184.49","0","427.03000000000003","59.93999999999999","11.1","14.530000000000001",,"740.4899999999999","36.56","2.1700000000002366","662.0899999999999","7.23","28.84999999999999","3.0100000000000002","227.67000000000002",,"45.99000000000024","419.39000000000004",
Schneider Electric Infrastructure Ltd,SCHNEIDER,"Heavy Electrical Equipments","4453.312651875","0","13.159999999999997","25.37","94.83","120.36","-81.78","25.53","181.63","988.09","443.11","1169.72","252.70000000000002","-25.42","461.08","0","277.85","36.11",,,"0","0","780.71","712.25","23.9104035","360.42",,"181.63000000000002","225.75","23.13999999999999","-116.12","75.73","251.17000000000002","75.74","313.28000000000003",,"275.84000000000003","389.01000000000005",
Nippon India ETF Nifty BeES,NIFTYBEES,"Equity","4449.399917086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equitas Holdings Ltd,EQUITAS,"Consumer Finance","4444.980445575","0.04","-1249.69","-1219.0300000000002","-35.88","57.1","-1217.51","92.98","4458.68","23154.050000000003","9.26","27612.730000000003","22242.21","-89.28","192.56","2264.84","341.79","2129.72",,"270.6","4547.83","0","2350.9","911.8399999999999","34.1789995","22242.21",,"4458.679999999999","0","3.637978807091713e-12","799.0899999999997","0","719.28","211.91999999999996","404.66","20038.74","22242.210000000003","25261.83","1052.1"
Rajratan Global Wire Ltd,RAJRATAN,"Iron & Steel","4433.069865","8.12","-1.880000000000006","-64.25","31.83","119.16","-27.95","87.33","340.9699999999999","275.88","180.95","616.8499999999999","53.8","-93.09","119.41","2.6","10.15","8.44","9.67",,"0","0.1","283.73999999999995","212.25","5.0771","136.71",,"340.96999999999997","81.91","0.16","328.21999999999997","22.07","92.84","12.44","310.93999999999994",,"63.629999999999995","333.10999999999996","0"
Maharashtra Seamless Ltd,MAHSEAMLES,"Building Products - Pipes","4425.9952935599995","23.65","-15.639999999999986","-947","-295.36","-287.1","-291.38","8.26","3696.609999999999","1691.04","556.83","5387.65","514.89","562.84","487.55","258.27","33.5","129.34","298.48",,"566.41","1.2454","2647.09","840.59","13.3999252","708.64",,"3696.61","1434.62","37.08","3404.84","25.38","353.04","526.3","2147.5246",,"850.45","2740.56","0"
Privi Speciality Chemicals Ltd,PRIVISCL,"Specialty Chemicals","4410.1795074","7.81","17.07000000000005","-226.68000000000004","-303.89","4.74","332.91","308.63","819.6100000000001","1356.42","264.99","2176.03","397.26000000000005","-320.58","305.8","0","39.06","49.39","13.26",,"0","0.9234","1052.63","928.8800000000001","3.9062706","933.0200000000001",,"819.61","616.32","17.019999999999783","773.2","46.83","623.0800000000002","121.93","1075.6466000000003",,"427.53999999999985","1123.4","7.35"
Sharda Cropchem Ltd,SHARDACROP,"Fertilizers & Agro Chemicals","4391.03149165","54.13","-28.869999999999962","-454.63","33.31000000000003","267.1","-90.96","233.79","1912.7900000000002","1825.47","1539.96","3738.26","3.4699999999999998","-205.01","1491.91","21.69","90.22","300.43","123.99",,"0","577.5769","2851.46","1691.78","9.0220495","46.65",,"1912.79","892.78","6.23","1800.55","82.82","199.8699999999999","118.29","226.4031",,"133.69","886.8","0.33"
HLE Glascoat Ltd,HLEGLAS,"Industrial Machinery","4388.7877092","5.38","14.440000000000026","-105.69","-59.08","10.3","150.56","69.38","266.06999999999994","493.98","147.99","760.05","125.01999999999998","-146.42","137.92","98.93","27.24","39.38","3.34",,"0","3.3203","479.21999999999997","341.3","6.826548","204.43999999999997",,"266.07","268.03","24.320000000000018","128.1","4.61","203.38000000000002","23.82","272.89970000000005",,"152.68","280.83000000000004","0.08"
Kaynes Technology India Ltd,KAYNES,"Electrical Components & Equipments","4339.46518896","0","3.8199999999999967","-51.04999999999999","-21.130000000000003","21.11","27.24","42.24","203.72000000000003","418.71000000000004","197.73","622.4300000000001","29.279999999999973","-44.53","164.06","10.76","46.54","21.59","6.78",,"1.52","2.344","486.37","362.14000000000004","4.6158006","169.54999999999998",,"203.72000000000003","226.38","20.51","145.29000000000002","30.94","198.08000000000004","40.67","101.25600000000001",,"56.56999999999998","136.06","1.13"
Infibeam Avenues Ltd,INFIBEAM,"IT Services & Consulting","4329.6230575","13.25","31.39","-38.739999999999995","79.94","122.01","-35.81","42.07","2954.8599999999997","899.430000000001","80.92","3854.290000000001","0","-54.81","44.18","2345.28","267.63","209.52","84.38",,"393.97","1677.888","1070.1000000000001","781.9200000000001","267.6310462","0.21",,"2954.86","0","33.13000000000091","384.6399999999999","163.46","737.7400000000001","779.6600000000001","548.8720000000003",,"117.5100000000009","2784.1900000000005","-3.05"
Heidelbergcement India Ltd,HEIDELBERG,"Cement","4279.58869566","180.72","-61.31999999999999","-132.88","254.74","301.85","-328.17","47.11","1565.24","1258.59","39.99","2823.83","162.27999999999997","-35","276.51","370.71","226.62","382.13","217.53000000000003",,"4.8","0","1184.21","836.64","22.6613116","198.74999999999994",,"1565.2399999999998","173.05","42.14","967.9099999999999","46","560.13","589.04","1588.8200000000002",,"421.95","1639.6200000000001",
Borosil Ltd,BOROLTD,"Housewares","4270.92294998","11.41","16.019999999999992","-71.07","-11.320000000000007","76.57","-23.56","87.89","783.25","171.41000000000008","74.31","954.6600000000001","1.18","-36.99","60.47","2.02","11.42","185.91000000000003","18.630000000000003",,"39.66","67.6707","557.69","148.76999999999998","11.4162667","1.19",,"783.25","193.34","2.8300000000000862","753.79","56.24","88.29999999999998","104.13","233.39930000000004",,"22.64000000000009","396.97","16.02"
Prudent Corporate Advisory Services Ltd,PRUDENT,"Asset Management","4265.0950734","0.31","-70.48000000000002","-22.890000000000004","87.17999999999999","88.97","-10.37","1.79","237.61000000000004","160.99999999999997","93.75","398.61","13.19","-149.08","120.56","1.95","20.7","57.48","0.41000000000000014",,"39.22","0","184.31","147.39","4.14066","13.19",,"237.61","10.4","0.009999999999990905","214.96","0.65","26.829999999999984","22.68","174.43","0","13.60999999999999","214.3","0"
Nesco Ltd,NESCO,"Real Estate","4259.6568818","21.14","0.1600000000000037","-40.44","14.5","163.21","-20.65","148.71","1697.7399999999998","274.08000000000027","18.63","1971.8200000000002","0.44999999999999996","-142.4","12.68","0","14.09","206.5","31.39",,"649.29","0","284.64","76.24000000000001","7.045996","0.6",,"1697.74","7.52","166.00000000000023","1683.65","109.07","63.56000000000001","51.99","928.82",,"197.84000000000023","1687.18","0"
TeamLease Services Ltd,TEAMLEASE,"Employment Services","4254.453196","0","-107.72","-153.26","-19.55","-6.15","-13.07","13.4","705.8000000000002","832.0299999999997","369.65","1537.83","21.779999999999994","-88.5","43.75","247.64","17.1","343.36","0.26000000000000023",,"3","173.2666","988.58","692.0799999999999","1.7096769","59.83",,"705.8000000000001","0","117.90999999999977","428.47","266.24","648.3299999999999","275.57000000000005","106.74340000000004",,"139.94999999999976","549.25","12.59"
CSB Bank Ltd,CSBBANK,"Private Banks","4234.04883251","0","-140.31000000000006","-1618.7800000000002","-914.2900000000001","-857.82","581.27","56.47","2651.4000000000015","22714.539999999997",,"25365.94","2007.19","136.24",,"1792.11","173.54","1573.76",,,"7011.62",,"1573.76","20188.3","17.367957",,"20188.3","2651.4",,"519.0499999999979","685.7500000000002","678.02",,,"287.86","15814.68","2526.239999999998","23792.18",
Greenlam Industries Ltd,GREENLAM,"Building Products - Laminates","4216.15266","12.07","-2.930000000000007","-119.08999999999999","-15.950000000000003","71.16","62.22","87.11","655.0600000000001","721.0500000000001","129.02","1376.1100000000001","196.39999999999998","-136.31","257.75","0","12.07","176.48","8.79",,"0.01","3.2181","856.1600000000001","505.5200000000001","12.068187","397.84",,"655.0600000000001","503.43","10.340000000000009","642.29","43.37","247.7700000000001","47.230000000000004","473.3519",,"215.52999999999997","519.9499999999999","0.7"
Indiabulls Real Estate Ltd,IBREALEST,"Real Estate","4209.566075180001","0","-31.16000000000001","-362.45000000000016","-248.24","-247.71","-63.83","0.53","3425.7600000000007","4325.02","273.42","7750.780000000001","357.64","280.38","344.28","5383.61","90.6","190.28",,"104.97","199.69","0","7097.31","3785.709999999999","45.2990732","1328.92",,"3425.76","5521.06","181.6700000000018","-2484.3599999999997","252.35","3441.4299999999994","1112.55","96.46",,"539.3100000000018","653.47","10.91"
HG Infra Engineering Ltd (Part IX),HGINFRA,"Construction & Engineering","4198.97468173","5.21","-94.91000000000003","-1033.48","-389.41","-321.8","292.53","67.61","1435.9699999999998","1844.4","635.4","3280.37","966.28","-65.64","439.15","269.45","65.17","164.5","9.129999999999999",,"0","0","1797.9099999999999","859.8000000000001","6.517111","1184.47",,"1435.9699999999998","183.55","9.19","1101.35","1020.84","420.6500000000001","814.4599999999999","461.62",,"984.6","1482.46","0"
Jamna Auto Industries Ltd,JAMNAAUTO,"Auto Parts","4183.547178075","39.83","-15.479999999999993","-230.57","-35.94","1.09","19.59","37.03","684.6800000000001","508.51","288.57","1193.19","10.89","-36.16","211.71","151.96","39.85","26.59",,"8.770000000000001","0.47","0","668.63","464.81","39.8483585","191.21999999999997",,"684.6800000000001","313.24","32.81","492.87","25.82","253.1","40.23","489.49999999999994",,"43.7","524.56","0"
NIIT Ltd,NIITLTD,"Education Services","4174.53417441","73.48","130.85000000000002","-24.590000000000003","261.41","287.81","-386.14","26.4","1519.25","587.5599999999994","188.62","2106.8099999999995","11.23","229.18","125.14","25.25","26.77","1157.1599999999999",,"29.28","0","127.406","1640.2599999999998","557.96","13.3867247","25.22",,"1519.25","2.06","18.369999999999326","1436.82","60.62","432.82000000000005","292.41999999999996","249.24399999999997",,"29.599999999999326","466.54999999999995","3.98"
Spandana Sphoorty Financial Ltd,SPANDANA,"Consumer Finance","4173.14459801","0","-408.01999999999987","309.87","848.5400000000001","862.58","-1306.82","14.04","3089.9500000000003","3986.389999999999","20.09","7076.339999999999","3772.11","36.22","0.33","2133.93","69.1","1202.24",,"184.21","2.44","17.389","1340.03","214.29","6.909453","3772.11",,"3089.95","0","-0.010000000001127773","809.54","6.46","213.95999999999998","117.70000000000002","13.890999999999995","5511.92","3772.099999999999","5736.3099999999995","2.38"
Olectra Greentech Ltd,OLECTRA,"Electrical Components & Equipments","4154.92690694","0","6.79999999999999","35.76000000000002","53.53999999999999","121.41","49.73","67.87","777.2900000000001","413.15","365.59","1190.44","52.459999999999994","-164.34","271.99","644.99","32.83","199.13","12.409999999999998",,"0.27","10.0107","784.6700000000001","330.46","8.2080737","67.11",,"777.2900000000001","58.73","17.82","99.46000000000004","77.29","58.46999999999997","161.22","318.1993",,"82.69","405.77","0.01"
Aarti Drugs Ltd,AARTIDRUGS,"Pharmaceuticals","4153.11","9.51","12.809999999999988","-270.73","-82.33","69.64","92.03","151.97","1036.3000000000002","1171.67","749.9","2207.9700000000003","140.38","-148.86","468.67","0","92.6","22.33","72.43",,"19.48","0","1393.3700000000001","940.0599999999998","9.26","542.8199999999999",,"1036.3","525.94","18.800000000000217","943.76","28.44","471.3899999999998","95.2","766.6800000000001",,"231.6100000000002","814.6000000000001","-0.06"
HMT Ltd,HMT,"Industrial Machinery","4142.0752416","0","-13.36","7.300000000000004","-55.16","-50.44","-7.43","4.72","-4180.16","4840.18","155.46","660.02","3.836930773104541e-13","44.51","87.5","0","355.6","135.69","0.18",,"0.2","0","527.18","4803.32","35.560164","3753.28",,"-4180.16","161.93","36.679999999999765","-4535.76","72.48","4715.82","74.1","60.16000000000004",,"36.86000000000015","132.84000000000003","0"
Tata Coffee Ltd,TATACOFFEE,"Tea & Coffee","4130.42673255","71.84","-157.53","-276.15999999999997","79.63999999999999","143.29","-296.52","63.65","2025.5600000000004","1663.1499999999996","293.21","3688.71","590.0799999999999","-4.3","171.18","144.24","18.68","221.87","146.44",,"0.11","1425.2918","1199.04","889.27","18.677037","1109.29",,"2025.5600000000002","574.09","37.35999999999953","1355.39","21.82","718.0899999999999","109.86999999999999","1042.4481999999998",,"773.8799999999995","2489.67","507.25"
Railtel Corporation of India Ltd,RAILTEL,"Communication & Networking","4120.84914588","94.67","-62.63000000000001","-31.81","148.12","263.94","-103.76","115.82","1526.71","1331.46","684.76","2858.17","0","-222.81","493.03","0","320.94","369.93",,"24.939999999999998","0","2.76","1537.8100000000002","1186.46","32.0938407","0",,"1526.71","0.94","145","1205.77","357.24","693.4300000000001","482.18","935.4200000000001",,"145","1320.3600000000001","0"
Mishra Dhatu Nigam Ltd,MIDHANI,"Metals - Diversified","4101.8093","58.86","-23.989999999999995","-226.91999999999996","-73.66999999999999","52.13","26.79","125.8","1189.5300000000002","1589.94","306.31","2779.4700000000003","27.759999999999998","-102.91","254.01","0","187.34","62.58","35.17",,"20.91","0.0292","1678.2900000000002","801.8","18.734","267.58",,"1189.53","1091.49","725.21","1002.19","9.92","547.79","217.91","1070.3208",,"788.14","1101.18","0"
Vijaya Diagnostic Centre Ltd,VIJAYA,"Hospitals & Diagnostic Centres","4098.59121561","0","4.369999999999997","-46.61","35.650000000000006","158","-30.57","122.35","469.54","243.93","9.77","713.47","170.26000000000002","-123.06","38.09","45.9","10.2","246.60000000000002",,"8.860000000000001","0.04","5.3375","269.9","66.12","10.1965926","183.46",,"469.54","4.28","7.549999999999982","412.12","30.05","28.03","9.249999999999998","399.2825",,"177.81","443.57000000000005","1.32"
HEG Ltd,HEG,"Electrical Components & Equipments","4093.82532142","12.09","19.659999999999968","-682.98","-500.14","-140.61","343.63","359.53","3913.6300000000006","1394.309999999999","589.17","5307.94","0.7799999999999727","-183.36","536.12","0","38.6","1270.53","96.3",,"501.99","0","3007.0299999999997","1287.0900000000001","3.8596656","664.6800000000001",,"3913.63","977.81","10.139999999998873","3875.03","340.07","750.9700000000001","169.51999999999998","1458.85",,"107.21999999999885","2300.91","0"
South Indian Bank Ltd,SOUTHBANK,"Private Banks","4080.8449851","0","2435.5500000000006","2323.97","4249.67","4351.56","-175.41","101.89","5854.25","94337.17",,"100191.42","3294.49","-1740.6",,"1766.9","209.27","11203.42",,,"21444.51",,"11203.42","89141.74","209.2741018",,"89141.74","5854.249999999999",,"1900.9399999999907","3876.7899999999995","6739.03",,,"811.07","59993.39","5195.42999999999","88988","0"
Himadri Speciality Chemical Ltd,HSCL,"Commodity Chemicals","4080.83203654","6.28","120.66999999999999","152.57000000000005","307.71999999999997","330.88","-181.98","23.16","1864.9499999999998","1588.8899999999999","505.03","3453.8399999999997","98.75999999999998","-28.23","389.49","456","41.9","265.01","73.16",,"113.32","0","1668.12","1412.3899999999999","41.8965278","586.79",,"1864.9499999999998","771.51","4.58","1369.74","50.31","1022.8999999999999","126.57","1622.09",,"176.49999999999997","1785.7199999999998","-2.69"
Rossari Biotech Ltd,ROSSARI,"Specialty Chemicals","4078.7577291300004","2.75","22.27000000000004","-163.12","-8.869999999999997","29.36","291.79","38.23","805.1600000000001","450.20000000000005","304.85","1255.3600000000001","0","-298.88","191.5","459.1","11.01","63.900000000000006","67.60000000000001",,"24.37","231.13","609.2900000000001","294.67","5.5056386","8.43",,"805.16","189.93","87.93000000000002","335.04999999999995","13.22","103.17000000000002","50.61","377.35000000000014",,"155.53000000000003","646.0700000000002","0"
Shrem Invit,SHREMINVIT,"Roads","4060.888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elecon Engineering Company Ltd,ELECON,"Heavy Electrical Equipments","4050.979736325","4.57","-11.780000000000001","-53.46999999999999","201.48","250.04","-249.97","48.56","1050.2400000000002","664.37","415.07","1714.6100000000001","52.08","-11.85","270.38","28.78","22.44","112.13","23.88",,"54.24","119.24600000000001","886.5300000000001","539.51","11.2199965","151.19",,"1050.24","261.67","48.9","999.02","34.15","269.13","97.66","620.444",,"124.85999999999999","828.0799999999999","0"
DCB Bank Ltd,DCBBANK,"Private Banks","4037.920335675","0","1051.42","669.4899999999991","1448.6","1606.08","-398.04","157.48","4048.830000000002","40842.73",,"44891.560000000005","4081.84","-156.62",,"1367.61","310.98","4090.76",,,"9098.23",,"4090.76","34691.69","31.0976463",,"34691.69","4048.8300000000004",,"2069.200000000003","2368.92","1945.61",,,"661.18","29095.78","6151.040000000003","40800.8",
Safari Industries (India) Ltd,SAFARI,"Apparel & Accessories","4029.7337355","0","34.839999999999996","-47.79999999999999","-28.369999999999997","15.64","-14.1","44.01","300.99000000000007","167.43","114.58","468.42","30.82","33.3","106.16","123.31","4.48","59.25",,"6.99","0","0.253","335.29","136.61","2.23895","55.61",,"300.99","146.11","0","105.16","10.58","30.450000000000017","15.350000000000001","115.30699999999999",,"30.82","133.13","0"
Ramkrishna Forgings Ltd,RKFORGE,"Rail","4027.7737152","4.8","-31.160000000000025","-457.15999999999997","-256.79","43.06","280.2","299.85","1078.3900000000003","2402.87","890.61","3481.26","891.8900000000001","-354.42","393.92","370.17","31.98","93.42","71.46000000000001",,"0.11","5.0319","1807.02","1423.3","15.9889535","1618.26",,"1078.39","709.64","16.22","676.24","71.44","1029.3799999999999","113.35","1597.6581",,"979.5700000000002","1674.24","0"
Uflex Ltd,UFLEX,"Packaging","4018.27795533","18.1","-27.530000000000058","-1558.16","-290.98","692.04","216.03","983.02","6695.84","7745.26","3510.74","14441.1","3281.58","-935.6","2000.06","571.11","72.21","588.27","285.55",,"212.17","4.6194","6690.05","4077.75","7.2284187","4786.63",,"6695.84","1831.4","100.37999999999978","6052.52","451.07","2077.69","759.6400000000001","7083.190600000001",,"3667.5099999999998","7751.05","0"
Bharat Rasayan Ltd,BHARATRAS,"Fertilizers & Agro Chemicals","4004.93040376","0.62","-26.29999999999999","-318.71","-121.16999999999999","-65.46","-24.79","55.71","770.02","319.79999999999995","463.72","1089.82","1","63.95","68.16","0","4.16","6.28","8.85",,"43.35","0","800.97","308.65","0.4155268","173.61",,"770.02","277.2","1.299999999999991","765.86","6.4","240.48999999999998","53.769999999999996","239.1",,"11.149999999999991","288.84999999999997","0"
Greenpanel Industries Ltd,GREENPANEL,"Wood Products","4004.397583725","18.39","44.309999999999974","-17.869999999999997","330.97999999999996","365.65","-184.93","34.67","951.64","590.7399999999999","41.44","1542.3799999999999","191.11999999999998","-136.41","140.65","0","12.26","222.62","68.24",,"0","0","486.3","311.67999999999995","12.2627395","315.59",,"951.64","165.82","19.69999999999998","939.38","17.9","171.02999999999994","56.42","1038.1799999999998",,"279.05999999999995","1056.08","0"
Healthcare Global Enterprises Ltd,HCG,"Hospitals & Diagnostic Centres","3982.5776198699996","0","189.82000000000005","-34.23","148.89","220.12","-154.89","71.23","883.7199999999998","1334.5299999999997","217.45","2218.2499999999995","828.78","124.59","199.15","1162.9","139.01","197.51",,"4.68","8.82","197.032","502.3399999999999","469.75","13.9011992","914.68",,"883.7199999999999","29.97","35.99999999999978","-431.6200000000001","133.55","270.6","57.41","1371.8279999999997",,"864.7799999999997","1715.9099999999996","13.43"
Sansera Engineering Ltd,SANSERA,"Auto Parts","3980.566971675","0","1.8500000000000085","-136.69","-54.44","213.07","46.55","267.51","1035.31","1185.6600000000003","408.56","2220.9700000000003","324.55999999999995","-257.77","276.52","143.14","10.43","50.93","64.19",,"10.49","35.225","794.49","737.69","5.2155815","746.45",,"1035.3100000000002","277.6","59.22000000000022","869.8100000000001","54.13","461.1700000000001","57.400000000000006","1326.6350000000002",,"447.97000000000014","1426.4800000000002","11.93"
Techno Electric & Engineering Company Ltd,TECHNOE,"Construction & Engineering","3955.01450134","49.46","-28.25999999999997","34.900000000000006","224.75000000000003","258.47","-62.76","33.72","1836.76","679.2300000000005","584.02","2515.9900000000002","0","-223.97","418.74","0","22","1095.21","122.06",,"0.47","0.9502","2036.54","426.12","11","0",,"1836.76","27.07","131.05000000000047","1814.73","19.92","7.3799999999999955","330.24","458.10980000000006",,"253.11000000000047","479.4500000000001","0.03"
Nocil Ltd,NOCIL,"Commodity Chemicals","3929.79944555","33.17","-32.68","-315.71999999999997","-66.44","-30.22","-33.6","36.22","1445.21","385.29000000000025","449.84","1830.5000000000002","2.8599999999999994","31.14","154.2","27.56","166.57","33.6","106.79",,"35.86","2.68","843.95","259.28000000000003","16.6573855","5.52",,"1445.21","332.74","16.360000000000227","1251.0800000000002","32.94","105.08000000000004","27.77","915.0700000000002",,"126.01000000000023","986.5500000000002","0"
Fusion Micro Finance Ltd,FUSION,"Consumer Finance","3907.994593725","0","-204.04999999999995","-1958.0600000000002","-1647.01","-1640.73","1418.2","6.28","1337.949999999999","5952.530000000001","4.34","7290.48","5775.8099999999995","18.48","17.66","1070.88","82.76","1153.6",,"86.75999999999999","0","0","1266.34","176.73000000000002","8.4326388","5775.8099999999995",,"1337.95","0","-0.009999999999308784","184.30999999999995","0","159.07000000000002","108.39999999999999","19.189999999999998","5918.19","5775.8","6024.139999999999",
Sarda Energy & Minerals Ltd,SARDAEN,"Iron & Steel","3899.979705725","27.04","184.91000000000003","-442.6","635.06","917.22","-330.81","282.16","3107.5099999999993","2190.3","168.75","5297.8099999999995","1195.96","-401.5","212.24","194.03","36.05","733.44","123.91",,"48.27","66.15","2158.59","826.4200000000001","3.6049235","1580.57",,"3107.5099999999998","612.97","44.01","2773.64","105.22","614.1800000000001","643.43","2919.5799999999995",,"1363.88","3139.2199999999993","103.79"
